age,marital,gender,address,income,inccat,car,carcat,ed,employ,retire,empcat,jobsat,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
36,Married,Female,6,43,$25 - $49,22.6,Standard,High school degree,9,No,5 to 15,Highly satisfied,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
48,Married,Female,16,66,$50 - $74,32.8,Luxury,Did not complete high school,16,No,More than 15,Somewhat satisfied,4,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
61,Unmarried,Female,21,77,$75+,38.2,Luxury,Did not complete high school,33,No,More than 15,Neutral,1,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
28,Unmarried,Male,3,16,Under $25,7.9,Economy,Did not complete high school,1,No,Less than 5,Neutral,1,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No
32,Unmarried,Male,13,51,$50 - $74,25.2,Standard,College degree,5,No,5 to 15,Somewhat dissatisfied,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
53,Unmarried,Female,27,57,$50 - $74,28.5,Standard,Did not complete high school,16,No,More than 15,Neutral,1,No,No,Yes,No,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
45,Unmarried,Male,7,37,$25 - $49,18.6,Standard,Did not complete high school,4,No,Less than 5,Neutral,4,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
48,Married,Male,27,45,$25 - $49,21.4,Standard,College degree,21,No,More than 15,Highly satisfied,2,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
28,Married,Male,5,138,$75+,69,Luxury,Some college,5,No,5 to 15,Somewhat satisfied,6,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
48,Married,Male,7,117,$75+,59,Luxury,Some college,19,No,More than 15,Neutral,2,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
26,Unmarried,Male,1,35,$25 - $49,17.6,Standard,Did not complete high school,8,No,5 to 15,Highly dissatisfied,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
36,Married,Male,10,23,Under $25,11.6,Economy,Did not complete high school,1,No,Less than 5,Neutral,6,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
21,Married,Male,0,18,Under $25,9.1,Economy,High school degree,0,No,Less than 5,Highly dissatisfied,4,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No
47,Married,Female,12,58,$50 - $74,28.4,Standard,High school degree,14,No,5 to 15,Somewhat satisfied,3,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
43,Married,Female,11,18,Under $25,8.8,Economy,Did not complete high school,1,No,Less than 5,Somewhat satisfied,6,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes
40,Married,Female,15,28,$25 - $49,14.2,Economy,High school degree,5,No,5 to 15,Somewhat dissatisfied,2,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
42,Unmarried,Female,7,94,$75+,46.4,Luxury,Did not complete high school,21,No,More than 15,Neutral,1,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
29,Unmarried,Male,2,35,$25 - $49,17,Standard,Some college,4,No,Less than 5,Neutral,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
37,Unmarried,Male,4,58,$50 - $74,28.5,Standard,Post-undergraduate degree,4,No,Less than 5,Neutral,1,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
40,Married,Male,21,110,$75+,54.6,Luxury,High school degree,20,No,More than 15,Somewhat satisfied,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
58,Married,Female,2,111,$75+,55.5,Luxury,Did not complete high school,18,No,More than 15,Highly satisfied,2,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
49,Unmarried,Male,22,143,$75+,72,Luxury,Some college,20,No,More than 15,Somewhat satisfied,1,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
75,Unmarried,Male,20,10,Under $25,4.9,Economy,Did not complete high school,21,Yes,More than 15,Highly dissatisfied,1,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No
32,Unmarried,Female,3,25,$25 - $49,13,Economy,High school degree,5,No,5 to 15,Neutral,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
56,Married,Female,37,98,$75+,49.8,Luxury,High school degree,21,No,More than 15,Neutral,2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
28,Unmarried,Male,6,41,$25 - $49,20,Standard,Post-undergraduate degree,0,No,Less than 5,Somewhat dissatisfied,1,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
54,Married,Female,8,213,$75+,72,Luxury,High school degree,26,No,More than 15,Highly satisfied,3,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No
48,Married,Female,21,98,$75+,46.3,Luxury,College degree,22,No,More than 15,Highly satisfied,5,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
32,Married,Female,0,23,Under $25,12,Economy,College degree,0,No,Less than 5,Highly dissatisfied,4,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
43,Unmarried,Female,15,34,$25 - $49,17.4,Standard,College degree,2,No,Less than 5,Highly dissatisfied,1,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
27,Unmarried,Female,6,19,Under $25,9.3,Economy,Some college,0,No,Less than 5,Somewhat dissatisfied,1,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
51,Unmarried,Female,8,49,$25 - $49,23.9,Standard,Did not complete high school,21,No,More than 15,Somewhat dissatisfied,1,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No
40,Married,Male,17,16,Under $25,8,Economy,Did not complete high school,0,No,Less than 5,Highly dissatisfied,3,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
51,Married,Female,25,205,$75+,75,Luxury,Some college,19,No,More than 15,Somewhat dissatisfied,4,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
56,Married,Male,10,94,$75+,48.8,Luxury,Did not complete high school,23,No,More than 15,Highly satisfied,3,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
34,Married,Male,11,31,$25 - $49,15.2,Standard,High school degree,2,No,Less than 5,Neutral,5,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
57,Unmarried,Male,25,9,Under $25,4.5,Economy,College degree,25,Yes,More than 15,Somewhat satisfied,1,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
51,Married,Male,1,41,$25 - $49,21.1,Standard,Some college,13,No,5 to 15,Somewhat satisfied,3,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
40,Unmarried,Female,16,100,$75+,51.1,Luxury,College degree,1,No,Less than 5,Neutral,1,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
22,Unmarried,Male,3,14,Under $25,6.8,Economy,Some college,1,No,Less than 5,Somewhat dissatisfied,1,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
36,Married,Female,3,31,$25 - $49,15.2,Standard,Post-undergraduate degree,4,No,Less than 5,Highly dissatisfied,3,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
33,Married,Male,4,76,$75+,38.7,Luxury,Some college,11,No,5 to 15,Somewhat satisfied,3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
50,Married,Male,30,128,$75+,64.1,Luxury,College degree,27,No,More than 15,Somewhat dissatisfied,2,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
48,Unmarried,Female,27,50,$50 - $74,24.4,Standard,Did not complete high school,16,No,More than 15,Somewhat dissatisfied,1,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
38,Unmarried,Male,7,63,$50 - $74,31,Luxury,Did not complete high school,5,No,5 to 15,Highly satisfied,1,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
39,Unmarried,Male,14,62,$50 - $74,30.8,Luxury,High school degree,14,No,5 to 15,Somewhat satisfied,1,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
38,Unmarried,Male,6,27,$25 - $49,13.7,Economy,College degree,15,No,More than 15,Neutral,1,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
31,Married,Female,1,25,$25 - $49,12,Economy,High school degree,5,No,5 to 15,Neutral,6,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
54,Unmarried,Female,20,406,$75+,75.5,Luxury,Did not complete high school,37,No,More than 15,Somewhat satisfied,1,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
40,Unmarried,Male,10,16,Under $25,7.9,Economy,Did not complete high school,0,No,Less than 5,Highly dissatisfied,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
35,Unmarried,Male,9,70,$50 - $74,35.5,Luxury,Some college,0,No,Less than 5,Highly dissatisfied,1,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
72,Unmarried,Female,15,16,Under $25,7.8,Economy,High school degree,32,Yes,More than 15,Highly satisfied,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
57,Married,Male,27,96,$75+,49.4,Luxury,Did not complete high school,24,No,More than 15,Somewhat dissatisfied,4,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
28,Married,Male,0,30,$25 - $49,14.4,Economy,Some college,0,No,Less than 5,Highly dissatisfied,4,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
53,Married,Female,2,203,$75+,77.8,Luxury,College degree,22,No,More than 15,Somewhat satisfied,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
34,Unmarried,Male,15,30,$25 - $49,14.6,Economy,Did not complete high school,1,No,Less than 5,Somewhat dissatisfied,1,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
63,Married,Male,39,307,$75+,77.3,Luxury,College degree,24,No,More than 15,Somewhat satisfied,2,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
39,Unmarried,Male,17,41,$25 - $49,20.7,Standard,Did not complete high school,4,No,Less than 5,Highly dissatisfied,2,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
48,Married,Male,28,20,Under $25,9.9,Economy,Did not complete high school,4,No,Less than 5,Highly satisfied,2,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
51,Unmarried,Female,10,131,$75+,64.6,Luxury,High school degree,23,No,More than 15,Highly satisfied,1,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
50,Married,Female,25,144,$75+,73.4,Luxury,Did not complete high school,33,No,More than 15,Somewhat dissatisfied,2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
39,Unmarried,Male,5,47,$25 - $49,23.1,Standard,Did not complete high school,12,No,5 to 15,Somewhat satisfied,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
36,Unmarried,Female,9,54,$50 - $74,27.1,Standard,College degree,3,No,Less than 5,Highly dissatisfied,1,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
55,Unmarried,Female,30,97,$75+,48.5,Luxury,College degree,0,No,Less than 5,Highly dissatisfied,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
38,Unmarried,Female,14,91,$75+,46.3,Luxury,College degree,8,No,5 to 15,Somewhat dissatisfied,3,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
38,Married,Female,12,31,$25 - $49,15.2,Standard,Some college,15,No,More than 15,Neutral,4,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
44,Married,Male,10,95,$75+,48.1,Luxury,High school degree,17,No,More than 15,Somewhat dissatisfied,4,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
60,Unmarried,Female,24,82,$75+,41.5,Luxury,Did not complete high school,32,No,More than 15,Somewhat satisfied,1,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
57,Married,Male,38,57,$50 - $74,28.2,Standard,Some college,18,No,More than 15,Neutral,4,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
33,Married,Male,12,63,$50 - $74,30.4,Luxury,High school degree,13,No,5 to 15,Somewhat satisfied,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
30,Unmarried,Female,3,53,$50 - $74,26.6,Standard,High school degree,11,No,5 to 15,Highly satisfied,3,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
41,Unmarried,Male,4,106,$75+,53.5,Luxury,Did not complete high school,24,No,More than 15,Somewhat satisfied,3,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
35,Married,Female,7,41,$25 - $49,19.5,Standard,Some college,10,No,5 to 15,Somewhat satisfied,3,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
52,Married,Female,3,49,$25 - $49,24.6,Standard,Did not complete high school,20,No,More than 15,Highly satisfied,3,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
39,Unmarried,Male,7,24,Under $25,12.6,Economy,Did not complete high school,3,No,Less than 5,Highly dissatisfied,1,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
42,Married,Male,4,50,$50 - $74,24.7,Standard,Post-undergraduate degree,3,No,Less than 5,Highly satisfied,2,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
34,Married,Male,6,31,$25 - $49,15.2,Standard,Some college,2,No,Less than 5,Highly satisfied,4,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
29,Unmarried,Male,3,31,$25 - $49,15.5,Standard,High school degree,3,No,Less than 5,Highly satisfied,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
32,Unmarried,Female,9,30,$25 - $49,14.7,Economy,Some college,0,No,Less than 5,Highly dissatisfied,2,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No
34,Unmarried,Female,8,37,$25 - $49,18.4,Standard,Some college,0,No,Less than 5,Highly dissatisfied,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
61,Unmarried,Male,10,123,$75+,61.5,Luxury,High school degree,27,No,More than 15,Highly satisfied,2,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
47,Married,Male,24,183,$75+,91.7,Luxury,College degree,24,No,More than 15,Highly satisfied,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
52,Married,Male,21,192,$75+,97.1,Luxury,High school degree,28,No,More than 15,Highly satisfied,2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
57,Married,Female,38,25,$25 - $49,12.4,Economy,Did not complete high school,11,No,5 to 15,Somewhat satisfied,2,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
24,Unmarried,Male,1,35,$25 - $49,17.1,Standard,Some college,1,No,Less than 5,Somewhat dissatisfied,4,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
39,Married,Female,15,76,$75+,37.9,Luxury,Did not complete high school,20,No,More than 15,Highly satisfied,3,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
30,Married,Female,7,23,Under $25,10.8,Economy,Some college,8,No,5 to 15,Highly dissatisfied,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No
28,Unmarried,Male,2,55,$50 - $74,27.1,Standard,High school degree,6,No,5 to 15,Neutral,1,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
39,Married,Male,13,275,$75+,72.5,Luxury,Post-undergraduate degree,1,No,Less than 5,Neutral,4,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
51,Unmarried,Male,30,47,$25 - $49,23.6,Standard,Some college,8,No,5 to 15,Highly satisfied,1,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
25,Married,Male,3,33,$25 - $49,16.4,Standard,Some college,4,No,Less than 5,Highly dissatisfied,5,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
23,Unmarried,Male,3,20,Under $25,9.5,Economy,High school degree,4,No,Less than 5,Highly dissatisfied,1,No,No,No,No,,No,No,Yes,Yes,Yes,No,Yes,No,No,No
40,Unmarried,Male,1,25,$25 - $49,12.3,Economy,College degree,0,No,Less than 5,Highly dissatisfied,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
25,Unmarried,Female,5,21,Under $25,10.3,Economy,High school degree,3,No,Less than 5,Highly satisfied,2,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
24,Married,Female,4,22,Under $25,10.8,Economy,High school degree,1,No,Less than 5,Somewhat dissatisfied,4,No,No,Yes,No,,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes
54,Unmarried,Male,24,21,Under $25,10.3,Economy,Some college,6,No,5 to 15,Somewhat satisfied,2,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes
40,Married,Female,10,64,$50 - $74,32,Luxury,College degree,3,No,Less than 5,Highly dissatisfied,2,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
56,Unmarried,Female,24,91,$75+,46.5,Luxury,Did not complete high school,25,No,More than 15,Somewhat dissatisfied,1,No,No,No,No,,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
39,Unmarried,Male,13,86,$75+,43.3,Luxury,High school degree,16,No,More than 15,Highly satisfied,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
25,Unmarried,Male,2,25,$25 - $49,12.8,Economy,High school degree,2,No,Less than 5,Somewhat satisfied,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
44,Unmarried,Male,21,26,$25 - $49,13,Economy,Some college,3,No,Less than 5,Somewhat dissatisfied,1,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
25,Married,Male,3,41,$25 - $49,20.7,Standard,College degree,0,No,Less than 5,Highly dissatisfied,4,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
30,Married,Female,1,57,$50 - $74,29.7,Standard,High school degree,8,No,5 to 15,Somewhat satisfied,2,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
39,Unmarried,Male,3,59,$50 - $74,29.5,Standard,Some college,13,No,5 to 15,Neutral,2,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
18,Unmarried,Female,0,13,Under $25,6.4,Economy,High school degree,0,No,Less than 5,Highly dissatisfied,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
52,Married,Male,15,50,$50 - $74,24.4,Standard,High school degree,9,No,5 to 15,Neutral,2,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
42,Unmarried,Female,18,38,$25 - $49,19,Standard,Did not complete high school,10,No,5 to 15,Highly satisfied,1,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
43,Unmarried,Female,15,120,$75+,59.7,Luxury,Some college,16,No,More than 15,Neutral,1,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
49,Married,Female,26,53,$50 - $74,27.1,Standard,High school degree,3,No,Less than 5,Somewhat dissatisfied,3,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
38,Married,Male,4,19,Under $25,9.4,Economy,Did not complete high school,2,No,Less than 5,Neutral,4,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
58,Married,Male,7,26,$25 - $49,12.8,Economy,Did not complete high school,32,Yes,More than 15,Highly satisfied,2,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
50,Unmarried,Female,22,44,$25 - $49,22.5,Standard,Did not complete high school,12,No,5 to 15,Somewhat dissatisfied,1,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
20,Married,Female,0,17,Under $25,8.4,Economy,Some college,0,No,Less than 5,Highly dissatisfied,5,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No
28,Unmarried,Male,9,42,$25 - $49,21.6,Standard,High school degree,9,No,5 to 15,Neutral,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
33,Married,Female,14,58,$50 - $74,28.7,Standard,High school degree,3,No,Less than 5,Somewhat dissatisfied,4,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
41,Married,Male,13,54,$50 - $74,27.2,Standard,Did not complete high school,13,No,5 to 15,Somewhat satisfied,7,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
44,Married,Male,0,29,$25 - $49,13.8,Economy,Did not complete high school,2,No,Less than 5,Somewhat satisfied,4,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
28,Unmarried,Female,3,17,Under $25,8.7,Economy,Some college,5,No,5 to 15,Highly dissatisfied,1,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
65,Unmarried,Female,35,187,$75+,94,Luxury,High school degree,33,No,More than 15,Highly satisfied,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
37,Married,Male,16,35,$25 - $49,17.3,Standard,Post-undergraduate degree,0,No,Less than 5,Highly dissatisfied,3,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
45,Unmarried,Female,18,31,$25 - $49,15,Standard,Did not complete high school,4,No,Less than 5,Neutral,1,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
30,Married,Female,10,19,Under $25,9.4,Economy,Some college,5,No,5 to 15,Somewhat dissatisfied,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
39,Unmarried,Female,13,28,$25 - $49,13.6,Economy,Did not complete high school,9,No,5 to 15,Highly satisfied,2,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
70,Married,Female,39,97,$75+,48.6,Luxury,Some college,36,Yes,More than 15,Highly satisfied,2,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
42,Married,Male,15,17,Under $25,8.4,Economy,Did not complete high school,0,No,Less than 5,Highly satisfied,4,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
34,Married,Male,11,39,$25 - $49,19.3,Standard,High school degree,8,No,5 to 15,Somewhat satisfied,5,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
65,Married,Female,15,39,$25 - $49,19.3,Standard,High school degree,3,No,Less than 5,Somewhat satisfied,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
38,Unmarried,Male,16,53,$50 - $74,27.8,Standard,High school degree,13,No,5 to 15,Highly satisfied,1,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
36,Married,Female,8,18,Under $25,9,Economy,High school degree,4,No,Less than 5,Somewhat dissatisfied,2,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
34,Unmarried,Male,12,80,$75+,40.3,Luxury,College degree,3,No,Less than 5,Highly satisfied,1,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
62,Married,Male,25,39,$25 - $49,19.8,Standard,High school degree,38,Yes,More than 15,Somewhat satisfied,2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
37,Unmarried,Female,18,46,$25 - $49,21.7,Standard,Some college,2,No,Less than 5,Neutral,1,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
43,Unmarried,Male,20,153,$75+,76.8,Luxury,College degree,9,No,5 to 15,Highly dissatisfied,2,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
65,Unmarried,Male,7,13,Under $25,6.4,Economy,High school degree,8,Yes,5 to 15,Highly dissatisfied,1,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
23,Married,Male,3,19,Under $25,9.5,Economy,Did not complete high school,1,No,Less than 5,Highly dissatisfied,5,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
35,Unmarried,Female,11,38,$25 - $49,19.1,Standard,High school degree,6,No,5 to 15,Highly satisfied,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
56,Married,Male,10,10,Under $25,4.7,Economy,High school degree,15,Yes,More than 15,Neutral,2,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
64,Married,Female,45,42,$25 - $49,21.3,Standard,Some college,18,No,More than 15,Highly satisfied,4,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
50,Married,Female,15,67,$50 - $74,32.5,Luxury,High school degree,6,No,5 to 15,Somewhat dissatisfied,5,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
39,Unmarried,Male,8,35,$25 - $49,17.5,Standard,Did not complete high school,16,No,More than 15,Highly satisfied,1,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
25,Unmarried,Male,0,95,$75+,48,Luxury,College degree,2,No,Less than 5,Somewhat dissatisfied,1,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
